	MV1_02_Oberseite TIS	MV2_01_Oberseite TIS	MV2_02_Oberseite TIS	MV3_01_Oberseite TIS	MV3_03_Oberseite TIS	MV4_01_Oberseite TIS	MV4_03_Oberseite TIS
1705	40.9	52.5	47.1	52.7	33.4	60.4	40.9
1710	40.9	52.5	47.0	52.7	33.5	60.4	40.9
1715	40.9	52.4	47.0	52.7	33.5	60.3	40.8
1720	40.8	52.4	47.0	52.8	33.5	60.2	40.8
1725	40.8	52.3	46.9	52.8	33.6	60.2	40.8
1730	40.8	52.3	46.9	52.8	33.6	60.1	40.7
1735	40.8	52.2	46.8	52.8	33.6	60.0	40.7
1740	40.8	52.2	46.7	52.9	33.6	60.0	40.6
1745	40.7	52.1	46.7	52.9	33.7	59.9	40.6
1750	40.7	52.1	46.6	52.9	33.7	59.8	40.5
1755	40.7	52.0	46.6	52.9	33.7	59.7	40.5
1760	40.7	52.0	46.5	52.9	33.7	59.7	40.4
1765	40.6	51.9	46.4	53.0	33.7	59.6	40.4
1770	40.6	51.9	46.4	53.0	33.8	59.5	40.4
1775	40.6	51.8	46.3	53.0	33.8	59.4	40.3
1780	40.6	51.7	46.3	53.0	33.8	59.4	40.3
1785	40.5	51.7	46.2	53.0	33.8	59.3	40.2
1790	40.5	51.6	46.1	53.0	33.8	59.2	40.2
1795	40.5	51.6	46.1	53.1	33.9	59.2	40.2
1800	40.5	51.5	46.1	53.1	33.9	59.1	40.1
1805	40.5	51.5	46.0	53.1	33.9	59.1	40.1
1810	40.5	51.5	46.0	53.2	34.0	59.0	40.1
1815	40.5	51.4	45.9	53.2	34.0	59.0	40.1
1820	40.4	51.4	45.9	53.2	34.0	58.9	40.0
1825	40.4	51.3	45.8	53.2	34.0	58.8	40.0
1830	40.4	51.3	45.8	53.3	34.1	58.8	40.0
1835	40.4	51.2	45.7	53.3	34.1	58.6	39.9
1840	40.3	51.1	45.6	53.3	34.1	58.5	39.8
1845	40.3	51.0	45.5	53.2	34.1	58.3	39.7
1850	40.2	50.9	45.4	53.2	34.1	58.1	39.5
1855	40.1	50.7	45.2	53.0	34.0	57.8	39.3
1860	40.0	50.5	45.0	52.9	33.9	57.4	39.0
1865	39.9	50.3	44.7	52.7	33.7	57.0	38.7
1870	39.7	50.0	44.5	52.5	33.6	56.5	38.4
1875	39.5	49.7	44.2	52.2	33.4	56.0	38.0
1880	39.4	49.4	43.8	52.0	33.3	55.4	37.6
1885	39.2	49.1	43.5	51.7	33.1	54.9	37.2
1890	39.1	48.8	43.2	51.4	33.0	54.3	36.8
1895	38.9	48.5	42.9	51.1	32.8	53.7	36.4
1900	38.8	48.2	42.6	50.9	32.7	53.1	36.0
1905	38.6	47.9	42.3	50.6	32.5	52.6	35.6
1910	38.5	47.6	42.0	50.3	32.3	52.0	35.2
1915	38.3	47.4	41.7	50.1	32.2	51.4	34.8
1920	38.2	47.1	41.5	49.9	32.0	50.9	34.4
1925	38.1	46.9	41.2	49.6	31.9	50.4	34.0
1930	38.0	46.7	41.0	49.4	31.8	50.0	33.7
1935	37.9	46.4	40.7	49.2	31.7	49.5	33.3
1940	37.8	46.3	40.5	49.1	31.6	49.2	33.1
1945	37.7	46.1	40.4	48.9	31.5	48.8	32.8
1950	37.7	46.0	40.3	48.8	31.4	48.6	32.6
1955	37.6	45.9	40.2	48.8	31.4	48.4	32.5
1960	37.6	45.8	40.1	48.8	31.4	48.3	32.4
1965	37.7	45.9	40.1	48.8	31.5	48.2	32.4
1970	37.7	45.9	40.2	48.9	31.6	48.3	32.5
1975	37.8	46.0	40.3	49.0	31.7	48.4	32.5
1980	37.9	46.1	40.4	49.2	31.8	48.6	32.7
1985	38.0	46.3	40.5	49.4	31.9	48.8	32.8
1990	38.1	46.4	40.7	49.5	32.0	49.0	33.0
1995	38.1	46.5	40.8	49.7	32.2	49.3	33.2
2000	38.2	46.7	41.0	49.9	32.3	49.6	33.4
2005	38.3	46.9	41.1	50.2	32.4	49.9	33.6
2010	38.4	47.0	41.3	50.4	32.6	50.1	33.8
2015	38.5	47.2	41.4	50.6	32.7	50.4	34.0
2020	38.5	47.4	41.6	50.8	32.8	50.7	34.2
2025	38.6	47.5	41.7	50.9	32.9	51.0	34.4
2030	38.7	47.6	41.9	51.1	33.0	51.3	34.6
2035	38.8	47.8	42.0	51.3	33.1	51.5	34.8
2040	38.8	47.9	42.1	51.5	33.2	51.8	35.0
2045	38.9	48.0	42.2	51.6	33.4	52.0	35.2
2050	39.0	48.2	42.4	51.8	33.5	52.3	35.3
2055	39.1	48.3	42.5	52.0	33.6	52.5	35.5
2060	39.1	48.4	42.6	52.2	33.7	52.7	35.7
2065	39.2	48.6	42.7	52.3	33.8	52.9	35.8
2070	39.3	48.7	42.8	52.5	33.9	53.1	35.9
2075	39.3	48.8	43.0	52.6	34.0	53.3	36.1
2080	39.4	48.9	43.1	52.8	34.1	53.5	36.2
2085	39.5	49.0	43.2	52.9	34.2	53.6	36.3
2090	39.6	49.1	43.3	53.1	34.3	53.8	36.4
2095	39.6	49.2	43.4	53.2	34.4	54.0	36.6
2100	39.7	49.3	43.5	53.4	34.5	54.1	36.7
2105	39.8	49.4	43.6	53.5	34.5	54.2	36.7
2110	39.9	49.5	43.6	53.6	34.6	54.4	36.8
2115	39.9	49.6	43.7	53.8	34.7	54.5	36.9
2120	40.0	49.6	43.8	53.9	34.8	54.5	37.0
2125	40.1	49.7	43.8	54.0	34.8	54.6	37.0
2130	40.1	49.7	43.9	54.0	34.9	54.7	37.0
2135	40.1	49.8	43.9	54.1	34.9	54.7	37.0
2140	40.2	49.8	43.9	54.2	35.0	54.7	37.0
2145	40.2	49.8	43.9	54.2	35.0	54.7	37.0
2150	40.1	49.7	43.9	54.2	35.0	54.6	37.0
2155	40.1	49.7	43.8	54.1	34.9	54.6	36.9
2160	40.1	49.6	43.8	54.1	34.9	54.5	36.8
2165	40.0	49.6	43.7	54.0	34.8	54.4	36.7
2170	40.0	49.5	43.7	54.0	34.8	54.3	36.6
2175	39.9	49.4	43.6	53.9	34.7	54.1	36.5
2180	39.8	49.3	43.5	53.8	34.7	54.0	36.4
2185	39.7	49.2	43.4	53.7	34.6	53.8	36.3
2190	39.7	49.1	43.3	53.6	34.5	53.7	36.2
2195	39.5	48.9	43.2	53.5	34.4	53.5	36.0
2200	39.5	48.8	43.1	53.4	34.3	53.3	35.8
2205	39.4	48.6	42.9	53.2	34.2	53.1	35.7
2210	39.2	48.5	42.8	53.1	34.1	52.8	35.5
2215	39.1	48.3	42.7	52.9	33.9	52.6	35.4
2220	39.0	48.2	42.6	52.7	33.8	52.4	35.2
2225	38.9	48.1	42.4	52.6	33.7	52.3	35.1
2230	38.8	47.9	42.3	52.4	33.5	52.1	34.9
2235	38.7	47.8	42.2	52.3	33.4	51.9	34.8
2240	38.6	47.7	42.1	52.2	33.4	51.8	34.7
2245	38.5	47.6	42.0	52.1	33.2	51.6	34.5
2250	38.4	47.5	41.9	51.9	33.2	51.5	34.4
2255	38.4	47.4	41.8	51.8	33.0	51.4	34.3
2260	38.3	47.4	41.8	51.7	33.0	51.3	34.2
2265	38.3	47.3	41.7	51.7	32.9	51.1	34.1
2270	38.2	47.3	41.7	51.6	32.9	51.1	34.1
2275	38.2	47.2	41.6	51.5	32.8	50.9	34.0
2280	38.2	47.1	41.5	51.5	32.7	50.9	33.9
2285	38.1	47.1	41.5	51.4	32.7	50.7	33.8
2290	38.1	47.1	41.5	51.4	32.6	50.7	33.6
2295	38.1	47.0	41.4	51.3	32.5	50.5	33.5
2300	38.1	47.0	41.4	51.2	32.5	50.4	33.4
2305	38.0	46.9	41.3	51.1	32.4	50.3	33.3
2310	38.0	46.9	41.3	51.1	32.3	50.2	33.2
2315	38.0	46.8	41.2	51.1	32.3	50.1	33.1
2320	38.0	46.8	41.2	51.0	32.2	50.0	33.1
2325	38.0	46.8	41.2	51.0	32.2	50.0	33.0
2330	38.1	46.8	41.2	51.0	32.2	49.8	32.9
2335	38.0	46.8	41.1	50.9	32.1	49.7	32.8
2340	38.0	46.7	41.0	50.9	32.1	49.5	32.7
2345	38.0	46.7	41.0	50.9	32.0	49.4	32.6
2350	38.0	46.6	41.0	50.9	32.0	49.3	32.5
2355	38.1	46.6	40.9	50.8	31.9	49.1	32.4
2360	38.0	46.6	40.9	50.7	31.9	48.9	32.3
2365	38.1	46.6	40.8	50.7	31.9	48.8	32.2
2370	38.0	46.6	40.8	50.7	31.9	48.7	32.1
2375	38.0	46.4	40.7	50.6	31.7	48.4	31.9
2380	37.9	46.4	40.6	50.3	31.6	48.2	31.7
2385	37.8	46.2	40.5	50.1	31.5	47.9	31.5
2390	37.8	46.1	40.3	50.0	31.4	47.7	31.5
2395	37.7	46.0	40.2	49.8	31.4	47.5	31.3
2400	37.7	45.9	40.0	49.7	31.3	47.5	31.2
2405	37.6	45.7	39.9	49.5	31.4	47.3	31.1
2410	37.6	45.7	39.9	49.4	31.4	47.1	31.0
2415	37.5	45.5	39.8	49.2	31.3	46.8	30.7
2420	37.5	45.3	39.5	49.1	31.2	46.5	30.6
2425	37.3	45.1	39.5	48.8	31.0	46.1	30.3
2430	37.0	44.8	39.2	48.5	30.7	45.7	30.0
2435	36.7	44.4	38.9	48.1	30.5	45.4	29.7
2440	36.6	44.2	38.6	47.9	30.4	45.1	29.4
2445	36.4	44.0	38.4	47.6	30.1	44.9	29.2
2450	36.1	43.7	38.0	47.2	29.8	44.4	28.8
2455	35.8	43.4	37.7	46.9	29.7	44.0	28.5
2460	35.6	43.0	37.5	46.6	29.4	43.6	28.3
2465	35.3	42.6	37.1	46.2	29.2	43.3	28.0
2470	35.2	42.4	36.9	46.1	29.2	43.1	27.8
2475	35.0	42.1	36.7	45.9	28.8	42.7	27.6
2480	34.5	41.6	36.3	45.4	28.3	41.9	27.0
2485	33.9	41.0	35.5	44.8	27.7	41.3	26.4
2490	33.1	40.3	34.5	44.1	26.9	41.3	25.8
